Time, OsVersion, Command, Count of same hash file
2019-4-5 13:22:53,7,?? ?? ??? ??????., 0
2019-4-5 13:22:53,7,?? ?? ??, 0
2019-4-5 13:22:53,7,?? ?? ?, 0
2019-4-5 13:22:55,7,?? ?? ??? ??????., 0
2019-4-5 13:22:55,7,?? ?? ??, 0
2019-4-5 13:22:55,7,?? ?? ?, 0
2019-4-5 13:22:55,7,?? ?? ?? ??, 0
2019-4-5 13:23:9,7,?? ?? ?? ??, 0
2019-4-5 13:23:13,7,?? ??? ??????., 0
2019-4-5 13:23:51,7,?? ?? ??, 0
2019-4-5 13:24:5,7,?? ?? ??, 0
2019-4-5 13:24:8,7,?? ??? ??????., 240

2019-4-5 13:22:53,8,?? ?? ??? ??????., 0
2019-4-5 13:22:53,8,?? ?? ??, 0
2019-4-5 13:22:53,8,?? ?? ?, 0
2019-4-5 13:22:55,8,?? ?? ??? ??????., 0
2019-4-5 13:22:55,8,?? ?? ??, 0
2019-4-5 13:22:55,8,?? ?? ?, 0
2019-4-5 13:22:55,8,?? ?? ?? ??, 0
2019-4-5 13:23:12,8,?? ?? ?? ??, 0
2019-4-5 13:23:17,8,?? ??? ??????., 0
2019-4-5 13:23:51,8,?? ?? ??, 0
2019-4-5 13:24:9,8,?? ?? ??, 0
2019-4-5 13:24:13,8,?? ??? ??????., 240

2019-4-5 13:22:53,10,?? ?? ??? ??????., 0
2019-4-5 13:22:53,10,?? ?? ??, 0
2019-4-5 13:22:53,10,?? ?? ?, 0
2019-4-5 13:22:55,10,?? ?? ??? ??????., 0
2019-4-5 13:22:55,10,?? ?? ??, 0
2019-4-5 13:22:55,10,?? ?? ?, 0
2019-4-5 13:22:55,10,?? ?? ?? ??, 0
2019-4-5 13:23:14,10,?? ?? ?? ??, 0
2019-4-5 13:23:19,10,?? ??? ??????., 0
2019-4-5 13:23:51,10,?? ?? ??, 0
2019-4-5 13:24:11,10,?? ?? ??, 0
2019-4-5 13:24:18,10,?? ??? ??????., 240

